,County,REP,DEM,LIB,IND,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,124958,75761,2092,4268,207079,342,342
5,ARANSAS,6646,2005,62,157,8870,4,4
7,BASTROP,6288,4304,181,146,10919,22,22
9,CALDWELL,3733,2091,93,82,5999,32,32
11,CALHOUN,4159,1767,42,51,6019,26,26
13,GONZALES,2915,993,30,37,3975,16,16
15,JACKSON,3929,762,23,27,4741,10,10
17,LAVACA,6699,919,32,35,7685,20,20
19,MATAGORDA,7103,2751,393,104,10351,19,19
21,NUECES,44846,44575,827,3021,93269,128,128
23,REFUGIO,1576,842,17,28,2463,11,11
25,SAN PATRICIO,8739,3746,124,293,12902,9,9
27,VICTORIA,19217,7479,175,182,27053,36,36
29,WHARTON,9108,3527,93,105,12833,9,9
