,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,188003,57209,3161,248373,367,367
5,BOWIE,20417,7512,277,28206,33,33
7,CAMP,2778,1071,27,3876,5,5
9,CASS,8199,1950,77,10226,19,19
11,COLLIN,13791,4172,315,18278,69,69
13,DELTA,1576,310,28,1914,8,8
15,FANNIN,8613,1911,155,10679,17,17
17,FRANKLIN,3311,567,42,3920,9,9
19,GRAYSON,31955,10143,631,42729,24,24
21,HOPKINS,9391,2312,108,11811,13,13
23,HUNT,21243,6328,431,28002,35,35
25,LAMAR,12846,3370,179,16395,32,32
27,MARION,2479,987,29,3495,11,11
29,MORRIS,3068,1272,32,4372,9,9
31,RAINS,3397,590,32,4019,9,9
33,RED RIVER,3399,946,30,4375,20,20
35,ROCKWALL,27550,10210,541,38301,17,17
37,TITUS,5715,2072,95,7882,20,20
39,UPSHUR,8275,1486,132,9893,17,17
