,County,REP,DEM,LIB,Total Votes,Registered Voters,Turn Out%,Provisional Ballots,Precincts Reported,Total Precincts
3,ALL COUNTIES,4244204,4024777,65240,8334221,15793257,52.77%,46090,7965,7965
5,ANDERSON,11315,3287,92,14694,28487,51.58%,76,23,23
7,ANDREWS,3338,776,17,4131,9574,43.14%,2,5,5
9,ANGELINA,19153,7123,153,26429,51751,51.06%,8,43,43
11,ARANSAS,6648,2229,55,8932,17308,51.60%,37,4,4
13,ARCHER,3208,376,18,3602,6317,57.02%,6,12,12
15,ARMSTRONG,819,74,6,899,1428,62.95%,0,9,9
17,ATASCOSA,7737,4325,119,12181,27338,44.55%,60,22,22
19,AUSTIN,8702,2237,84,11023,19406,56.80%,102,19,19
21,BAILEY,1202,405,7,1614,3727,43.30%,5,5,5
23,BANDERA,7643,1865,76,9584,15869,60.39%,7,11,11
25,BASTROP,15049,12066,312,27427,47438,57.81%,99,22,22
27,BAYLOR,1070,156,9,1235,2365,52.21%,4,5,5
29,BEE,4341,2809,64,7214,15883,45.41%,11,11,11
31,BELL,47279,38191,720,86190,195760,44.02%,809,49,49
33,BEXAR,216428,324688,4991,546107,1098257,49.72%,202,753,753
35,BLANCO,4180,1567,57,5804,8504,68.25%,33,7,7
37,BORDEN,320,22,1,343,488,70.28%,0,8,8
39,BOSQUE,5699,1365,63,7127,12209,58.37%,60,12,12
41,BOWIE,20131,7960,182,28273,59618,47.42%,90,33,33
43,BRAZORIA,65470,45068,832,111370,207446,53.68%,1412,27,27
45,BRAZOS,35724,27642,632,63998,114377,55.95%,426,27,27
47,BREWSTER,1868,2144,60,4072,7292,55.84%,0,9,9
49,BRISCOE,563,69,2,634,1084,58.48%,0,6,6
51,BROOKS,543,1376,4,1923,5843,32.91%,0,10,10
53,BROWN,10386,1669,71,12126,23368,51.89%,15,20,20
55,BURLESON,5077,1425,45,6547,11782,55.56%,0,14,14
57,BURNET,13791,4417,187,18395,31072,59.20%,159,21,21
59,CALDWELL,6131,5212,106,11449,23777,48.15%,100,32,32
61,CALHOUN,4198,1874,47,6119,12835,47.67%,0,26,26
63,CALLAHAN,4363,608,40,5011,9337,53.66%,34,5,5
65,CAMERON,28508,48656,567,77731,206966,37.55%,747,110,110
67,CAMP,2749,1117,24,3890,7648,50.86%,11,5,5
69,CARSON,2185,244,22,2451,4263,57.49%,12,9,9
71,CASS,8130,2013,45,10188,20119,50.63%,71,19,19
73,CASTRO,1219,394,10,1623,3842,42.24%,3,3,3
75,CHAMBERS,12134,2921,109,15164,28063,54.03%,126,16,16
77,CHEROKEE,11621,3200,103,14924,27949,53.39%,25,26,26
79,CHILDRESS,1525,234,8,1767,3559,49.64%,0,5,5
81,CLAY,3708,547,31,4286,7655,55.98%,12,17,17
83,COCHRAN,541,140,5,686,1729,39.67%,3,6,6
85,COKE,1146,137,10,1293,2285,56.58%,13,6,6
87,COLEMAN,2758,351,16,3125,5912,52.85%,1,6,6
89,COLLIN,186625,164852,2918,354395,579893,61.11%,3657,69,69
91,COLLINGSWORTH,810,113,5,928,1906,48.68%,0,8,8
93,COLORADO,3565,1020,12,4597,13938,32.98%,1,12,12
95,COMAL,43918,16748,586,61252,100867,60.72%,816,29,29
97,COMANCHE,3799,781,30,4610,9197,50.12%,3,13,13
99,CONCHO,800,163,14,977,1677,58.25%,6,9,9
101,COOKE,11868,2545,111,14524,25747,56.41%,106,30,30
103,CORYELL,10617,5052,169,15838,38635,40.99%,39,9,9
105,COTTLE,458,97,2,557,1063,52.39%,0,5,5
107,CRANE,836,213,6,1055,2666,39.57%,3,5,5
109,CROCKETT,927,340,8,1275,2497,51.06%,1,5,5
111,CROSBY,978,436,7,1421,3540,40.14%,4,5,5
113,CULBERSON,294,521,21,836,1722,48.54%,3,6,6
115,DALLAM,969,139,6,1114,3039,36.65%,16,7,7
117,DALLAS,240128,478289,5338,723755,1335313,54.20%,2307,847,847
119,DAWSON,2240,874,9,3123,7202,43.36%,2,10,10
121,DEAF SMITH,2677,1065,28,3770,8855,42.57%,0,5,5
123,DELTA,1561,354,16,1931,3896,49.56%,8,8,8
125,DENTON,158509,134295,2401,295205,497490,59.33%,226,180,180
127,DEWITT,4974,1128,29,6131,11744,52.20%,14,11,11
129,DICKENS,635,113,6,754,1288,58.54%,0,7,7
131,DIMMIT,839,2041,12,2892,7378,39.19%,0,8,8
133,DONLEY,1109,411,8,1528,2237,68.30%,0,7,7
135,DUVAL,1328,2765,18,4111,8377,49.07%,7,10,10
137,EASTLAND,5373,796,28,6197,11775,52.62%,37,10,10
139,ECTOR,20958,9209,247,30414,76536,39.73%,126,27,27
141,EDWARDS,603,145,8,756,1449,52.17%,0,5,5
143,ELLIS,40979,19061,458,60498,108349,55.83%,265,50,50
145,EL PASO,50288,149457,1181,200926,455992,44.06%,841,192,192
147,ERATH,10039,2482,83,12604,22492,56.03%,9,22,22
149,FALLS,3201,1440,19,4660,10399,44.81%,0,14,14
151,FANNIN,8558,2105,74,10737,20756,51.72%,46,17,17
153,FAYETTE,8218,2192,53,10463,16626,62.93%,0,27,27
155,FISHER,1139,340,15,1494,2682,55.70%,0,5,5
157,FLOYD,1310,463,9,1782,3965,44.94%,10,3,3
159,FOARD,321,113,1,435,913,47.64%,0,5,5
161,FORT BEND,111190,141846,1614,254650,431832,58.96%,377,80,80
163,FRANKLIN,3290,639,35,3964,6807,58.23%,33,9,9
165,FREESTONE,5230,1274,40,6544,11978,54.63%,45,16,16
167,FRIO,1628,2001,27,3656,8606,42.48%,40,10,10
169,GAINES,3317,513,19,3849,8921,43.14%,3,5,5
171,GALVESTON,66436,43858,901,111195,212630,52.29%,700,36,36
173,GARZA,1068,201,16,1285,2712,47.38%,1,7,7
175,GILLESPIE,9872,2560,81,12513,19294,64.85%,83,14,14
177,GLASSCOCK,513,37,4,554,782,70.84%,0,5,5
179,GOLIAD,2324,716,29,3069,5597,54.83%,0,10,10
181,GONZALES,4171,1421,31,5623,12210,46.05%,30,16,16
183,GRAY,5240,613,40,5893,12493,47.17%,0,8,8
185,GRAYSON,31572,11130,331,43033,80863,53.21%,241,24,24
187,GREGG,24457,11027,233,35717,69893,51.10%,306,22,22
189,GRIMES,6490,2034,70,8594,16176,53.12%,16,15,15
191,GUADALUPE,33881,20006,553,54440,100552,54.14%,553,35,35
193,HALE,5349,1964,62,7375,19170,38.47%,111,31,31
195,HALL,807,161,3,971,1987,48.86%,0,8,8
197,HAMILTON,2606,456,26,3088,5611,55.03%,5,12,12
199,HANSFORD,1552,138,20,1710,3034,56.36%,0,9,9
201,HARDEMAN,973,185,4,1162,2459,47.25%,0,5,5
203,HARDIN,17373,2634,71,20078,38259,52.47%,34,20,20
205,HARRIS,498175,698580,8639,1205394,2338460,51.54%,7195,1013,1013
207,HARRISON,16190,6205,121,22516,44462,50.64%,30,27,27
209,HARTLEY,1467,153,4,1624,2875,56.48%,3,7,7
211,HASKELL,1360,302,10,1672,3331,50.19%,12,11,11
213,HAYS,33169,45355,852,79376,134403,59.05%,1316,55,55
