,County,REP,DEM,LIB,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,134375,97574,4415,236364,360,360
5,BASTROP,268,129,11,408,22,22
7,BRAZOS,37808,24168,1542,63518,27,27
9,BURLESON,5145,1349,70,6564,14,14
11,FALLS,3235,1377,30,4642,14,14
13,FREESTONE,5236,1301,57,6594,16,16
15,LEE,1456,393,47,1896,9,9
17,LEON,2918,393,38,3349,18,18
19,LIMESTONE,5234,1573,60,6867,22,22
21,MCLENNAN,47709,25880,993,74582,34,34
23,MILAM,5941,1891,96,7928,9,9
25,ROBERTSON,4345,1838,57,6240,16,16
27,TRAVIS,15080,37282,1414,53776,159,159
