,County,REP,DEM,Total Votes,Precincts Reported,Total Precincts
3,ALL COUNTIES,152012,49941,201953,296,296
5,BAILEY,1234,354,1588,5,5
7,BORDEN,325,13,338,8,8
9,CASTRO,1215,381,1596,3,3
11,COCHRAN,553,125,678,6,6
13,CROSBY,1025,381,1406,5,5
15,FISHER,1168,306,1474,5,5
17,FLOYD,783,297,1080,3,3
19,GAINES,3363,468,3831,5,5
21,GARZA,1101,170,1271,7,7
23,HALE,5642,1720,7362,31,31
25,HASKELL,1400,253,1653,11,11
27,HOCKLEY,4987,1066,6053,15,15
29,HOWARD,5711,1605,7316,7,7
31,JONES,4197,756,4953,11,11
33,KENT,301,31,332,7,7
35,LAMB,3137,685,3822,12,12
37,LUBBOCK,62118,28211,90329,38,38
39,LYNN,1392,295,1687,12,12
41,NOLAN,3219,807,4026,10,10
43,PARMER,1675,351,2026,10,10
45,SCURRY,3757,577,4334,12,12
47,SHACKELFORD,1196,86,1282,8,8
49,STEPHENS,825,61,886,9,9
51,STONEWALL,511,92,603,5,5
53,TAYLOR,31151,9163,40314,21,21
55,TERRY,2246,551,2797,8,8
57,THROCKMORTON,623,67,690,6,6
59,YOAKUM,1592,305,1897,7,7
61,YOUNG,5565,764,6329,9,9
