,County,REP,DEM,LIB,Total Votes,Registered Voters,Turn Out%,Provisional Ballots,Precincts Reported,Total Precincts
3,ALL COUNTIES,4638582,3528705,140125,8307412,15793257,52.60%,46090,7965,7965
5,ANDERSON,11710,2849,149,14708,28487,51.63%,76,23,23
7,ANDREWS,3400,687,38,4125,9574,43.08%,2,5,5
9,ANGELINA,19689,6401,243,26333,51751,50.88%,8,43,43
11,ARANSAS,7044,1782,106,8932,17308,51.60%,37,4,4
13,ARCHER,3259,323,28,3610,6317,57.14%,6,12,12
15,ARMSTRONG,822,59,14,895,1428,62.67%,0,9,9
17,ATASCOSA,8345,3649,157,12151,27338,44.44%,60,22,22
19,AUSTIN,8988,1894,123,11005,19406,56.70%,102,19,19
21,BAILEY,1239,348,17,1604,3727,43.03%,5,5,5
23,BANDERA,7866,1600,120,9586,15869,60.40%,7,11,11
25,BASTROP,16332,10392,640,27364,47438,57.68%,99,22,22
27,BAYLOR,1090,129,15,1234,2365,52.17%,4,5,5
29,BEE,4827,2259,90,7176,15883,45.18%,11,11,11
31,BELL,50992,33612,1434,86038,195760,43.95%,809,49,49
33,BEXAR,249781,283755,9791,543327,1098257,49.47%,202,753,753
35,BLANCO,4327,1349,115,5791,8504,68.09%,33,7,7
37,BORDEN,321,17,1,339,488,69.46%,0,8,8
39,BOSQUE,5929,1095,106,7130,12209,58.39%,60,12,12
41,BOWIE,20625,7336,281,28242,59618,47.37%,90,33,33
43,BRAZORIA,70139,39395,1633,111167,207446,53.58%,1412,27,27
45,BRAZOS,39141,23189,1369,63699,114377,55.69%,426,27,27
47,BREWSTER,2022,1930,96,4048,7292,55.51%,0,9,9
49,BRISCOE,556,58,9,623,1084,57.47%,0,6,6
51,BROOKS,658,1198,12,1868,5843,31.96%,0,10,10
53,BROWN,10635,1457,142,12234,23368,52.35%,15,20,20
55,BURLESON,5252,1275,68,6595,11782,55.97%,0,14,14
57,BURNET,14423,3692,340,18455,31072,59.39%,159,21,21
59,CALDWELL,6706,4496,223,11425,23777,48.05%,100,32,32
61,CALHOUN,4409,1627,82,6118,12835,47.66%,0,26,26
63,CALLAHAN,4465,484,54,5003,9337,53.58%,34,5,5
65,CAMERON,34334,41885,1109,77328,206966,37.36%,747,110,110
67,CAMP,2816,1027,41,3884,7648,50.78%,11,5,5
69,CARSON,2202,207,36,2445,4263,57.35%,12,9,9
71,CASS,8305,1880,76,10261,20119,51.00%,71,19,19
73,CASTRO,1226,371,18,1615,3842,42.03%,3,3,3
75,CHAMBERS,12492,2457,203,15152,28063,53.99%,126,16,16
77,CHEROKEE,11933,2932,153,15018,27949,53.73%,25,26,26
79,CHILDRESS,1545,204,13,1762,3559,49.50%,0,5,5
81,CLAY,3805,449,30,4284,7655,55.96%,12,17,17
83,COCHRAN,550,122,7,679,1729,39.27%,3,6,6
85,COKE,1185,116,15,1316,2285,57.59%,13,6,6
87,COLEMAN,2773,328,28,3129,5912,52.92%,1,6,6
89,COLLIN,207213,138450,6431,352094,579893,60.71%,3657,69,69
91,COLLINGSWORTH,827,101,11,939,1906,49.26%,0,8,8
93,COLORADO,3663,896,30,4589,13938,32.92%,1,12,12
95,COMAL,46471,14076,1012,61559,100867,61.02%,816,29,29
97,COMANCHE,3906,657,50,4613,9197,50.15%,3,13,13
99,CONCHO,822,145,13,980,1677,58.43%,6,9,9
101,COOKE,12284,2049,163,14496,25747,56.30%,106,30,30
103,CORYELL,11272,4379,256,15907,38635,41.17%,39,9,9
105,COTTLE,478,88,3,569,1063,53.52%,0,5,5
107,CRANE,842,197,8,1047,2666,39.27%,3,5,5
109,CROCKETT,920,333,14,1267,2497,50.74%,1,5,5
111,CROSBY,1005,391,20,1416,3540,40.00%,4,5,5
113,CULBERSON,321,422,11,754,1722,43.78%,3,6,6
115,DALLAM,984,129,8,1121,3039,36.88%,16,7,7
117,DALLAS,282520,422653,14966,720139,1335313,53.93%,2307,847,847
119,DAWSON,2288,802,30,3120,7202,43.32%,2,10,10
121,DEAF SMITH,2785,955,28,3768,8855,42.55%,0,5,5
123,DELTA,1605,301,29,1935,3896,49.66%,8,8,8
125,DENTON,174204,113494,6184,293882,497490,59.07%,226,180,180
127,DEWITT,5115,942,62,6119,11744,52.10%,14,11,11
129,DICKENS,656,96,6,758,1288,58.85%,0,7,7
131,DIMMIT,1041,1787,22,2850,7378,38.62%,0,8,8
133,DONLEY,1129,134,20,1283,2237,57.35%,0,7,7
135,DUVAL,1477,2456,22,3955,8377,47.21%,7,10,10
137,EASTLAND,5430,704,57,6191,11775,52.57%,37,10,10
139,ECTOR,21898,8191,408,30497,76536,39.84%,126,27,27
141,EDWARDS,634,100,7,741,1449,51.13%,0,5,5
143,ELLIS,43598,15844,973,60415,108349,55.75%,265,50,50
145,EL PASO,61963,132353,3654,197970,455992,43.41%,841,192,192
147,ERATH,10337,2071,167,12575,22492,55.90%,9,22,22
149,FALLS,3328,1282,39,4649,10399,44.70%,0,14,14
151,FANNIN,8844,1766,131,10741,20756,51.74%,46,17,17
153,FAYETTE,8566,1772,107,10445,16626,62.82%,0,27,27
155,FISHER,1161,310,17,1488,2682,55.48%,0,5,5
157,FLOYD,1364,399,17,1780,3965,44.89%,10,3,3
159,FOARD,331,101,4,436,913,47.75%,0,5,5
161,FORT BEND,125599,124879,3610,254088,431832,58.83%,377,80,80
163,FRANKLIN,3350,537,58,3945,6807,57.95%,33,9,9
165,FREESTONE,5322,1140,59,6521,11978,54.44%,45,16,16
167,FRIO,1832,1728,51,3611,8606,41.95%,40,10,10
169,GAINES,3305,475,53,3833,8921,42.96%,3,5,5
171,GALVESTON,70807,38236,1970,111013,212630,52.20%,700,36,36
173,GARZA,1078,184,13,1275,2712,47.01%,1,7,7
175,GILLESPIE,10331,2020,164,12515,19294,64.86%,83,14,14
177,GLASSCOCK,515,36,2,553,782,70.71%,0,5,5
179,GOLIAD,2395,616,48,3059,5597,54.65%,0,10,10
181,GONZALES,4391,1170,52,5613,12210,45.97%,30,16,16
183,GRAY,5323,550,67,5940,12493,47.54%,0,8,8
185,GRAYSON,32477,9833,607,42917,80863,53.07%,241,24,24
187,GREGG,25439,9915,408,35762,69893,51.16%,306,22,22
189,GRIMES,6674,1855,102,8631,16176,53.35%,16,15,15
191,GUADALUPE,36230,17202,853,54285,100552,53.98%,553,35,35
193,HALE,5521,1721,114,7356,19170,38.37%,111,31,31
195,HALL,815,142,7,964,1987,48.51%,0,8,8
197,HAMILTON,2705,365,26,3096,5611,55.17%,5,12,12
199,HANSFORD,1548,120,25,1693,3034,55.80%,0,9,9
201,HARDEMAN,997,154,6,1157,2459,47.05%,0,5,5
203,HARDIN,17510,2325,155,19990,38259,52.24%,34,20,20
205,HARRIS,558958,627446,18069,1204473,2338460,51.50%,7195,1013,1013
207,HARRISON,16706,5530,256,22492,44462,50.58%,30,27,27
209,HARTLEY,1491,125,7,1623,2875,56.45%,3,7,7
211,HASKELL,1385,267,14,1666,3331,50.01%,12,11,11
213,HAYS,37731,39285,2138,79154,134403,58.89%,1316,55,55
215,HEMPHILL,1190,152,14,1356,2289,59.23%,12,9,9
217,HENDERSON,21748,4614,305,26667,51770,51.51%,3,27,27
219,HIDALGO,55340,93771,1667,150778,361562,41.70%,0,75,75
221,HILL,9242,2045,116,11403,22743,50.13%,104,23,23
223,HOCKLEY,4946,1027,95,6068,13582,44.67%,9,15,15
225,HOOD,20848,3760,310,24918,40835,61.02%,116,11,11
227,HOPKINS,9525,2216,129,11870,22706,52.27%,10,13,13
229,HOUSTON,5643,1636,50,7329,13090,55.98%,36,22,22
231,HOWARD,5730,1546,92,7368,16968,43.42%,100,7,7
233,HUDSPETH,535,332,13,880,1922,45.78%,0,5,5
235,HUNT,22055,5940,387,28382,55193,51.42%,149,35,35
237,HUTCHINSON,5871,685,79,6635,13547,48.97%,31,9,9
239,IRION,638,87,9,734,1314,55.85%,4,5,5
241,JACK,2538,245,26,2809,5082,55.27%,13,7,7
243,JACKSON,4013,714,27,4754,9195,51.70%,29,10,10
245,JASPER,9701,1986,85,11772,22848,51.52%,29,21,21
247,JEFF DAVIS,719,407,39,1165,1719,67.77%,1,6,6
249,JEFFERSON,38958,34451,750,74159,148344,49.99%,499,40,40
251,JIM HOGG,508,938,8,1454,3833,37.93%,0,6,6
253,JIM WELLS,5082,4606,77,9765,26438,36.93%,33,22,22
255,JOHNSON,41453,10090,774,52317,97157,53.84%,174,37,37
257,JONES,4159,755,57,4971,10024,49.59%,43,11,11
259,KARNES,3017,1052,46,4115,8071,50.98%,11,16,16
261,KAUFMAN,27464,10313,590,38367,72579,52.86%,533,30,30
263,KENDALL,16058,3370,286,19714,30774,64.06%,113,12,12
265,KENEDY,111,57,3,171,309,55.33%,0,7,7
267,KENT,299,34,4,337,588,57.31%,0,7,7
269,KERR,17523,4241,297,22061,35854,61.53%,187,21,21
271,KIMBLE,1527,161,23,1711,2908,58.83%,0,8,8
273,KING,119,6,1,126,184,68.47%,1,5,5
275,KINNEY,884,289,11,1184,2255,52.50%,5,5,5
277,KLEBERG,4818,3612,99,8529,18186,46.89%,28,18,18
279,KNOX,866,217,11,1094,2434,44.94%,9,7,7
281,LAMAR,13079,3216,200,16495,31591,52.21%,30,32,32
283,LAMB,3126,667,30,3823,8096,47.22%,25,12,12
285,LAMPASAS,6051,1336,100,7487,14099,53.10%,50,6,6
287,LASALLE,728,725,7,1460,4300,33.95%,13,7,7
289,LAVACA,6856,829,45,7730,13234,58.41%,5,20,20
291,LEE,4638,1125,56,5819,10453,55.66%,32,9,9
293,LEON,5778,751,51,6580,11163,58.94%,1,18,18
295,LIBERTY,16497,3798,202,20497,43981,46.60%,161,31,31
297,LIMESTONE,5309,1527,52,6888,13621,50.56%,25,22,22
299,LIPSCOMB,946,109,8,1063,1988,53.47%,3,8,8
301,LIVE OAK,2944,471,28,3443,7240,47.55%,33,15,15
303,LLANO,8218,1739,133,10090,15758,64.03%,61,10,10
305,LOVING,46,9,0,55,121,45.45%,0,5,5
307,LUBBOCK,61696,27192,2131,91019,175881,51.75%,2215,38,38
309,LYNN,1379,302,14,1695,3945,42.96%,15,12,12
311,MADISON,3080,721,28,3829,7428,51.54%,6,7,7
313,MARION,2547,934,33,3514,7368,47.69%,34,11,11
315,MARTIN,1303,229,14,1546,3252,47.53%,0,7,7
317,MASON,1605,333,21,1959,2956,66.27%,1,5,5
319,MATAGORDA,7698,2667,106,10471,21654,48.35%,0,19,19
321,MAVERICK,3493,6939,126,10558,31453,33.56%,68,15,15
323,MCCULLOCH,2274,368,33,2675,5243,51.02%,2,10,10
325,MCLENNAN,49174,24716,1078,74968,139699,53.66%,56,34,34
327,MCMULLEN,395,33,1,429,704,60.93%,0,5,5
329,MEDINA,12046,3957,166,16169,31354,51.56%,109,8,8
331,MENARD,644,128,4,776,1443,53.77%,9,7,7
333,MIDLAND,32292,7544,669,40505,84393,47.99%,74,21,21
335,MILAM,6061,1782,115,7958,15038,52.91%,110,9,9
337,MILLS,1789,206,18,2013,3426,58.75%,0,8,8
339,MITCHELL,1594,298,14,1906,4562,41.77%,4,7,7
341,MONTAGUE,6560,765,80,7405,13588,54.49%,0,11,11
343,MONTGOMERY,144490,42930,2599,190019,333488,56.97%,973,97,97
345,MOORE,3264,747,40,4051,9764,41.48%,23,8,8
347,MORRIS,3127,1213,50,4390,8302,52.87%,0,9,9
349,MOTLEY,488,34,4,526,847,62.10%,0,7,7
351,NACOGDOCHES,14399,6835,264,21498,36993,58.11%,51,26,26
353,NAVARRO,10810,3407,178,14395,28641,50.26%,14,21,21
355,NEWTON,3771,870,29,4670,9293,50.25%,9,23,23
357,NOLAN,3196,806,51,4053,8778,46.17%,0,10,10
359,NUECES,52827,39614,1311,93752,205176,45.69%,161,128,128
