Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
People,"Sex and Age","Total population",717376,"(+/- 4297 )",772262,"(+/- 22258 )",870763,"(+/- 5912 )",747188,"(+/- 6228 )",769579,"(+/- 11415 )",792043,"(+/- 16916 )",800081,"(+/- 24652 )",863498,"(+/- 14302 )",789535,"(+/- 24241 )",846261,"(+/- 22124 )",759467,"(+/- 6635 )",806551,"(+/- 16920 )",713480,"(+/- 5318 )",765031,"(+/- 6089 )",790730,"(+/- 12293 )",742384,"(+/- 6828 )",771567,"(+/- 9592 )",800402,"(+/- 27413 )",734202,"(+/- 5490 )",806372,"(+/- 20040 )",809322,"(+/- 15938 )",897080,"(+/- 16259 )",769276,"(+/- 18427 )",800103,"(+/- 13109 )",789825,"(+/- 14562 )",879237,"(+/- 10561 )",740277,"(+/- 7180 )",753502,"(+/- 13034 )",761833,"(+/- 26928 )",774443,"(+/- 19099 )",853799,"(+/- 6507 )",763452,"(+/- 14474 )",753565,"(+/- 20125 )",727595,"(+/- 10226 )",830041,"(+/- 23073 )",742474,"(+/- 14998 )"
People,"Sex and Age",Male,350771,"(+/- 2960 )",386880,"(+/- 12448 )",427505,"(+/- 3170 )",366929,"(+/- 5061 )",386656,"(+/- 7456 )",385727,"(+/- 9856 )",400627,"(+/- 14530 )",438842,"(+/- 8523 )",381472,"(+/- 13421 )",420262,"(+/- 12787 )",378611,"(+/- 5484 )",396260,"(+/- 10348 )",365252,"(+/- 4193 )",388325,"(+/- 4458 )",395051,"(+/- 7009 )",364539,"(+/- 3982 )",382947,"(+/- 5615 )",400861,"(+/- 17686 )",372543,"(+/- 4143 )",397015,"(+/- 10962 )",397834,"(+/- 10442 )",442524,"(+/- 9609 )",391212,"(+/- 11040 )",394796,"(+/- 8450 )",390942,"(+/- 8826 )",433178,"(+/- 6483 )",365057,"(+/- 4680 )",367866,"(+/- 7598 )",386947,"(+/- 14581 )",373537,"(+/- 11652 )",421406,"(+/- 3699 )",377440,"(+/- 9236 )",381642,"(+/- 11080 )",362711,"(+/- 6472 )",418971,"(+/- 14480 )",369563,"(+/- 9053 )"
People,"Sex and Age",Female,366605,"(+/- 3894 )",385382,"(+/- 12905 )",443258,"(+/- 4286 )",380259,"(+/- 4040 )",382923,"(+/- 8023 )",406316,"(+/- 9692 )",399454,"(+/- 14230 )",424656,"(+/- 8724 )",408063,"(+/- 13694 )",425999,"(+/- 13080 )",380856,"(+/- 3354 )",410291,"(+/- 9816 )",348228,"(+/- 3519 )",376706,"(+/- 4027 )",395679,"(+/- 8506 )",377845,"(+/- 4377 )",388620,"(+/- 6308 )",399541,"(+/- 13813 )",361659,"(+/- 3223 )",409357,"(+/- 12385 )",411488,"(+/- 9771 )",454556,"(+/- 9202 )",378064,"(+/- 10988 )",405307,"(+/- 9533 )",398883,"(+/- 8595 )",446059,"(+/- 6619 )",375220,"(+/- 4377 )",385636,"(+/- 7219 )",374886,"(+/- 15662 )",400906,"(+/- 10535 )",432393,"(+/- 3674 )",386012,"(+/- 8448 )",371923,"(+/- 12546 )",364884,"(+/- 6320 )",411070,"(+/- 12348 )",372911,"(+/- 9615 )"
People,"Sex and Age","Under 5 years",47384,"(+/- 1716 )",51543,"(+/- 5149 )",52842,"(+/- 2015 )",46877,"(+/- 2022 )",54681,"(+/- 3549 )",54016,"(+/- 4426 )",58078,"(+/- 5975 )",55305,"(+/- 2523 )",60401,"(+/- 5933 )",62404,"(+/- 4792 )",54983,"(+/- 2023 )",57221,"(+/- 4080 )",48043,"(+/- 1432 )",50865,"(+/- 1878 )",66753,"(+/- 4419 )",55015,"(+/- 2387 )",52461,"(+/- 3069 )",61455,"(+/- 6358 )",50133,"(+/- 1903 )",58480,"(+/- 4735 )",46267,"(+/- 4614 )",66920,"(+/- 3757 )",58160,"(+/- 4433 )",55752,"(+/- 4423 )",51596,"(+/- 3691 )",55093,"(+/- 2270 )",50490,"(+/- 2068 )",65962,"(+/- 3566 )",67753,"(+/- 6534 )",56869,"(+/- 4999 )",60520,"(+/- 1809 )",53596,"(+/- 4235 )",66182,"(+/- 4965 )",59815,"(+/- 3355 )",58235,"(+/- 5872 )",48014,"(+/- 4405 )"
People,"Sex and Age","5 to 9 years",48198,"(+/- 3325 )",47548,"(+/- 5193 )",64589,"(+/- 3802 )",51707,"(+/- 3012 )",56250,"(+/- 4508 )",55336,"(+/- 4339 )",58380,"(+/- 5905 )",65557,"(+/- 5124 )",57795,"(+/- 6090 )",60734,"(+/- 4991 )",54472,"(+/- 2858 )",54774,"(+/- 4753 )",49336,"(+/- 3023 )",55452,"(+/- 2655 )",69536,"(+/- 5331 )",51801,"(+/- 3425 )",47322,"(+/- 3637 )",61292,"(+/- 5402 )",46230,"(+/- 2807 )",52554,"(+/- 4143 )",44169,"(+/- 3574 )",66846,"(+/- 4852 )",63053,"(+/- 4901 )",51708,"(+/- 3528 )",51917,"(+/- 4246 )",65697,"(+/- 4078 )",52237,"(+/- 3402 )",63157,"(+/- 4266 )",61705,"(+/- 5065 )",58186,"(+/- 4285 )",59394,"(+/- 2843 )",41715,"(+/- 3800 )",62812,"(+/- 4615 )",55595,"(+/- 4077 )",58498,"(+/- 4988 )",48958,"(+/- 3645 )"
People,"Sex and Age","10 to 14 years",51573,"(+/- 2908 )",50169,"(+/- 5113 )",67845,"(+/- 3933 )",54277,"(+/- 2947 )",62782,"(+/- 4483 )",61045,"(+/- 5541 )",66523,"(+/- 6855 )",59494,"(+/- 5455 )",56247,"(+/- 5499 )",63441,"(+/- 5026 )",51399,"(+/- 3168 )",57779,"(+/- 5155 )",48787,"(+/- 3080 )",50274,"(+/- 3030 )",69501,"(+/- 4952 )",61388,"(+/- 3694 )",46289,"(+/- 3817 )",56827,"(+/- 5093 )",56810,"(+/- 3127 )",54969,"(+/- 5083 )",45081,"(+/- 3962 )",71440,"(+/- 5346 )",60164,"(+/- 4364 )",54770,"(+/- 4367 )",57885,"(+/- 3775 )",67972,"(+/- 3897 )",49888,"(+/- 3245 )",63169,"(+/- 4005 )",67418,"(+/- 6214 )",63331,"(+/- 5483 )",67254,"(+/- 2835 )",48574,"(+/- 4624 )",63875,"(+/- 4747 )",65025,"(+/- 4451 )",61593,"(+/- 5583 )",50457,"(+/- 3528 )"
People,"Sex and Age","15 to 19 years",55748,"(+/- 3294 )",48379,"(+/- 4940 )",63070,"(+/- 1588 )",49803,"(+/- 2736 )",51360,"(+/- 3541 )",60088,"(+/- 3516 )",47327,"(+/- 4465 )",61956,"(+/- 3508 )",50591,"(+/- 4780 )",52763,"(+/- 5513 )",53549,"(+/- 3163 )",53043,"(+/- 4345 )",52771,"(+/- 2429 )",51285,"(+/- 2078 )",62636,"(+/- 3088 )",55551,"(+/- 1417 )",62239,"(+/- 2851 )",55614,"(+/- 4546 )",57380,"(+/- 2002 )",59537,"(+/- 3352 )",50292,"(+/- 4014 )",65682,"(+/- 4304 )",61535,"(+/- 4529 )",47730,"(+/- 4103 )",57976,"(+/- 4673 )",65635,"(+/- 2590 )",52840,"(+/- 2759 )",61978,"(+/- 4109 )",64620,"(+/- 4645 )",54606,"(+/- 3623 )",59830,"(+/- 2201 )",47878,"(+/- 4325 )",60533,"(+/- 3650 )",61005,"(+/- 3067 )",61731,"(+/- 4710 )",51332,"(+/- 4188 )"
People,"Sex and Age","20 to 24 years",46266,"(+/- 2751 )",52740,"(+/- 5295 )",48799,"(+/- 1843 )",45939,"(+/- 2414 )",48438,"(+/- 4779 )",54154,"(+/- 4095 )",46138,"(+/- 5086 )",56638,"(+/- 4312 )",54883,"(+/- 4498 )",48357,"(+/- 5000 )",53171,"(+/- 3412 )",51595,"(+/- 4204 )",48729,"(+/- 2772 )",49764,"(+/- 3041 )",58975,"(+/- 3990 )",60459,"(+/- 2179 )",82085,"(+/- 2781 )",60904,"(+/- 5423 )",71043,"(+/- 2424 )",74789,"(+/- 3889 )",62411,"(+/- 5054 )",52837,"(+/- 4219 )",51126,"(+/- 4978 )",44816,"(+/- 3930 )",52463,"(+/- 4122 )",53519,"(+/- 1998 )",47558,"(+/- 2391 )",56249,"(+/- 3465 )",55802,"(+/- 4600 )",59166,"(+/- 4410 )",56799,"(+/- 2246 )",49313,"(+/- 3584 )",61920,"(+/- 5403 )",57075,"(+/- 3287 )",66344,"(+/- 4021 )",44104,"(+/- 3745 )"
People,"Sex and Age","25 to 34 years",89700,"(+/- 3548 )",120336,"(+/- 7995 )",108126,"(+/- 3234 )",87212,"(+/- 3831 )",101307,"(+/- 4693 )",108029,"(+/- 5965 )",130068,"(+/- 8475 )",105558,"(+/- 4875 )",142485,"(+/- 8607 )",132925,"(+/- 8382 )",109947,"(+/- 4287 )",127640,"(+/- 5298 )",96255,"(+/- 3119 )",102941,"(+/- 3453 )",107264,"(+/- 3776 )",108785,"(+/- 2482 )",114921,"(+/- 4671 )",140505,"(+/- 8355 )",104648,"(+/- 3191 )",138702,"(+/- 6100 )",124977,"(+/- 6633 )",112496,"(+/- 5279 )",107592,"(+/- 7068 )",134801,"(+/- 5702 )",106855,"(+/- 5588 )",125142,"(+/- 4946 )",97038,"(+/- 2965 )",97546,"(+/- 4104 )",113775,"(+/- 8241 )",120822,"(+/- 6305 )",126198,"(+/- 3012 )",126824,"(+/- 6615 )",115296,"(+/- 6681 )",89396,"(+/- 3881 )",144192,"(+/- 8995 )",102435,"(+/- 6553 )"
People,"Sex and Age","35 to 44 years",84615,"(+/- 3239 )",109310,"(+/- 7356 )",139858,"(+/- 2512 )",91532,"(+/- 3652 )",102959,"(+/- 4931 )",108065,"(+/- 5963 )",126341,"(+/- 7760 )",123381,"(+/- 5825 )",107606,"(+/- 7076 )",124860,"(+/- 6631 )",87499,"(+/- 3227 )",107216,"(+/- 5434 )",87449,"(+/- 2709 )",102182,"(+/- 3552 )",106154,"(+/- 4138 )",94193,"(+/- 2051 )",96905,"(+/- 4165 )",110214,"(+/- 5998 )",88975,"(+/- 3251 )",106974,"(+/- 6014 )",101390,"(+/- 5345 )",137272,"(+/- 6047 )",97960,"(+/- 6255 )",123224,"(+/- 5727 )",105568,"(+/- 4906 )",131597,"(+/- 4280 )",90874,"(+/- 3701 )",96945,"(+/- 4432 )",102507,"(+/- 5609 )",104624,"(+/- 5924 )",126715,"(+/- 2851 )",101403,"(+/- 5439 )",99579,"(+/- 6055 )",92877,"(+/- 3012 )",120573,"(+/- 7143 )",93643,"(+/- 5300 )"
